2026-03-01 15:28:46,251 [INFO] === txt 全量处理开始 ===
2026-03-01 15:28:46,251 [INFO] === txt 全量处理开始 ===
2026-03-01 15:28:46,447 [INFO] Phase 1: 待提取 txt 6115 条
2026-03-01 15:28:46,447 [INFO] Phase 1: 待提取 txt 6115 条
2026-03-01 15:28:47,753 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:28:47,753 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:28:47,858 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:28:47,858 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:28:47,858 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:28:47,858 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:28:48,070 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:28:48,070 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:29:01,700 [INFO] [S] 语义清洗完成 doc_id=174977266248885587 type=txt understand=True (554→700字, 1段)
2026-03-01 15:29:01,700 [INFO] [S] 语义清洗完成 doc_id=174977266248885587 type=txt understand=True (554→700字, 1段)
2026-03-01 15:29:01,973 [INFO] [S] 语义清洗完成 doc_id=174690490501006556 type=txt understand=True (822→748字, 1段)
2026-03-01 15:29:01,973 [INFO] [S] 语义清洗完成 doc_id=174690490501006556 type=txt understand=True (822→748字, 1段)
2026-03-01 15:29:02,160 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:29:02,160 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:29:02,360 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:29:02,360 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:29:04,913 [INFO] [S] 语义清洗完成 doc_id=174229474040813657 type=txt understand=True (1030→967字, 1段)
2026-03-01 15:29:04,913 [INFO] [S] 语义清洗完成 doc_id=174229474040813657 type=txt understand=True (1030→967字, 1段)
2026-03-01 15:29:05,349 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:29:05,349 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:29:08,041 [INFO] [S] 语义清洗完成 doc_id=174438748812465401 type=txt understand=True (982→1011字, 1段)
2026-03-01 15:29:08,041 [INFO] [S] 语义清洗完成 doc_id=174438748812465401 type=txt understand=True (982→1011字, 1段)
2026-03-01 15:29:08,756 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:29:08,756 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:29:11,635 [INFO] [S] 语义清洗完成 doc_id=175110190994403610 type=txt understand=True (441→437字, 1段)
2026-03-01 15:29:11,635 [INFO] [S] 语义清洗完成 doc_id=175110190994403610 type=txt understand=True (441→437字, 1段)
2026-03-01 15:29:12,097 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:29:12,097 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:29:12,836 [INFO] [S] 语义清洗完成 doc_id=175027380171114158 type=txt understand=True (301→525字, 1段)
2026-03-01 15:29:12,836 [INFO] [S] 语义清洗完成 doc_id=175027380171114158 type=txt understand=True (301→525字, 1段)
2026-03-01 15:29:13,264 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:29:13,264 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:29:23,475 [INFO] [S] 语义清洗完成 doc_id=175390402235465171 type=txt understand=True (1106→1086字, 1段)
2026-03-01 15:29:23,475 [INFO] [S] 语义清洗完成 doc_id=175390402235465171 type=txt understand=True (1106→1086字, 1段)
2026-03-01 15:29:23,889 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:29:23,889 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:29:27,233 [INFO] [S] 语义清洗完成 doc_id=175683472285970892 type=txt understand=True (1001→1021字, 1段)
2026-03-01 15:29:27,233 [INFO] [S] 语义清洗完成 doc_id=175683472285970892 type=txt understand=True (1001→1021字, 1段)
2026-03-01 15:29:27,744 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:29:27,744 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:29:28,126 [INFO] [S] 语义清洗完成 doc_id=176082462576701676 type=txt understand=True (848→814字, 1段)
2026-03-01 15:29:28,126 [INFO] [S] 语义清洗完成 doc_id=176082462576701676 type=txt understand=True (848→814字, 1段)
2026-03-01 15:29:28,183 [INFO] [S] 语义清洗完成 doc_id=175783570254815192 type=txt understand=True (1305→954字, 1段)
2026-03-01 15:29:28,183 [INFO] [S] 语义清洗完成 doc_id=175783570254815192 type=txt understand=True (1305→954字, 1段)
2026-03-01 15:29:28,590 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:29:28,590 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:29:29,249 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:29:29,249 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:29:39,458 [INFO] [S] 语义清洗完成 doc_id=176558425479729601 type=txt understand=True (543→608字, 1段)
2026-03-01 15:29:39,458 [INFO] [S] 语义清洗完成 doc_id=176558425479729601 type=txt understand=True (543→608字, 1段)
2026-03-01 15:29:39,853 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:29:39,853 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:29:43,506 [INFO] [S] 语义清洗完成 doc_id=176960834700886114 type=txt understand=True (162→148字, 1段)
2026-03-01 15:29:43,506 [INFO] [S] 语义清洗完成 doc_id=176960834700886114 type=txt understand=True (162→148字, 1段)
2026-03-01 15:29:43,758 [INFO] [S] 语义清洗完成 doc_id=176181338488525757 type=txt understand=True (1132→1024字, 1段)
2026-03-01 15:29:43,758 [INFO] [S] 语义清洗完成 doc_id=176181338488525757 type=txt understand=True (1132→1024字, 1段)
2026-03-01 15:29:43,907 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:29:43,907 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:29:44,131 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:29:44,131 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:29:47,052 [INFO] [S] 语义清洗完成 doc_id=177003200216265785 type=txt understand=True (79→78字, 1段)
2026-03-01 15:29:47,052 [INFO] [S] 语义清洗完成 doc_id=177003200216265785 type=txt understand=True (79→78字, 1段)
2026-03-01 15:29:47,408 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:29:47,408 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:29:48,416 [INFO] [S] 语义清洗完成 doc_id=176849308459893055 type=txt understand=True (1023→1118字, 1段)
2026-03-01 15:29:48,416 [INFO] [S] 语义清洗完成 doc_id=176849308459893055 type=txt understand=True (1023→1118字, 1段)
2026-03-01 15:29:48,827 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:29:48,827 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:29:48,919 [INFO] [S] 语义清洗完成 doc_id=177268489562464816 type=txt understand=True (226→211字, 1段)
2026-03-01 15:29:48,919 [INFO] [S] 语义清洗完成 doc_id=177268489562464816 type=txt understand=True (226→211字, 1段)
2026-03-01 15:29:49,353 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:29:49,353 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:29:56,961 [INFO] [S] 语义清洗完成 doc_id=177349664162940939 type=txt understand=True (452→447字, 1段)
2026-03-01 15:29:56,961 [INFO] [S] 语义清洗完成 doc_id=177349664162940939 type=txt understand=True (452→447字, 1段)
2026-03-01 15:29:57,400 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:29:57,400 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:29:58,655 [INFO] [S] 语义清洗完成 doc_id=177886131181775868 type=txt understand=True (384→456字, 1段)
2026-03-01 15:29:58,655 [INFO] [S] 语义清洗完成 doc_id=177886131181775868 type=txt understand=True (384→456字, 1段)
2026-03-01 15:29:59,041 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:29:59,041 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:30:01,363 [INFO] [S] 语义清洗完成 doc_id=177836814885463330 type=txt understand=True (565→607字, 1段)
2026-03-01 15:30:01,363 [INFO] [S] 语义清洗完成 doc_id=177836814885463330 type=txt understand=True (565→607字, 1段)
2026-03-01 15:30:01,829 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:30:01,829 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:30:10,963 [INFO] [S] 语义清洗完成 doc_id=176899874305518313 type=txt understand=True (2466→2158字, 1段)
2026-03-01 15:30:10,963 [INFO] [S] 语义清洗完成 doc_id=176899874305518313 type=txt understand=True (2466→2158字, 1段)
2026-03-01 15:30:11,416 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:30:11,416 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:30:12,757 [INFO] [S] 语义清洗完成 doc_id=177928193627526238 type=txt understand=True (756→745字, 1段)
2026-03-01 15:30:12,757 [INFO] [S] 语义清洗完成 doc_id=177928193627526238 type=txt understand=True (756→745字, 1段)
2026-03-01 15:30:13,213 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:30:13,213 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:30:13,961 [INFO] [S] 语义清洗完成 doc_id=178132858023900357 type=txt understand=True (753→789字, 1段)
2026-03-01 15:30:13,961 [INFO] [S] 语义清洗完成 doc_id=178132858023900357 type=txt understand=True (753→789字, 1段)
2026-03-01 15:30:14,412 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:30:14,412 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:30:16,283 [INFO] [S] 语义清洗完成 doc_id=178277282471888329 type=txt understand=True (750→717字, 1段)
2026-03-01 15:30:16,283 [INFO] [S] 语义清洗完成 doc_id=178277282471888329 type=txt understand=True (750→717字, 1段)
2026-03-01 15:30:16,756 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:30:16,756 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:30:26,725 [INFO] [S] 语义清洗完成 doc_id=178456117498888086 type=txt understand=True (876→801字, 1段)
2026-03-01 15:30:26,725 [INFO] [S] 语义清洗完成 doc_id=178456117498888086 type=txt understand=True (876→801字, 1段)
2026-03-01 15:30:27,214 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:30:27,214 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:30:28,081 [INFO] [S] 语义清洗完成 doc_id=180037203494511894 type=txt understand=True (517→639字, 1段)
2026-03-01 15:30:28,081 [INFO] [S] 语义清洗完成 doc_id=180037203494511894 type=txt understand=True (517→639字, 1段)
2026-03-01 15:30:28,540 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:30:28,540 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:30:28,868 [INFO] [S] 语义清洗完成 doc_id=179999176632767899 type=txt understand=True (758→731字, 1段)
2026-03-01 15:30:28,868 [INFO] [S] 语义清洗完成 doc_id=179999176632767899 type=txt understand=True (758→731字, 1段)
2026-03-01 15:30:29,572 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:30:29,572 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:30:33,646 [INFO] [S] 语义清洗完成 doc_id=179765092019963959 type=txt understand=True (1175→1111字, 1段)
2026-03-01 15:30:33,646 [INFO] [S] 语义清洗完成 doc_id=179765092019963959 type=txt understand=True (1175→1111字, 1段)
2026-03-01 15:30:34,285 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:30:34,285 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:30:38,559 [INFO] [S] 语义清洗完成 doc_id=180194899625079955 type=txt understand=True (635→478字, 1段)
2026-03-01 15:30:38,559 [INFO] [S] 语义清洗完成 doc_id=180194899625079955 type=txt understand=True (635→478字, 1段)
2026-03-01 15:30:39,386 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:30:39,386 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:30:42,807 [INFO] [S] 语义清洗完成 doc_id=180080844319692286 type=txt understand=True (705→784字, 1段)
2026-03-01 15:30:42,807 [INFO] [S] 语义清洗完成 doc_id=180080844319692286 type=txt understand=True (705→784字, 1段)
2026-03-01 15:30:43,681 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:30:43,681 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:30:46,207 [INFO] [S] 语义清洗完成 doc_id=180225556729469193 type=txt understand=True (768→849字, 1段)
2026-03-01 15:30:46,207 [INFO] [S] 语义清洗完成 doc_id=180225556729469193 type=txt understand=True (768→849字, 1段)
2026-03-01 15:30:46,815 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:30:46,815 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:30:48,373 [INFO] [S] 语义清洗完成 doc_id=180571472283151725 type=txt understand=True (627→630字, 1段)
2026-03-01 15:30:48,373 [INFO] [S] 语义清洗完成 doc_id=180571472283151725 type=txt understand=True (627→630字, 1段)
2026-03-01 15:30:48,816 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:30:48,816 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:30:52,417 [INFO] [S] 语义清洗完成 doc_id=180671936909298314 type=txt understand=True (422→659字, 1段)
2026-03-01 15:30:52,417 [INFO] [S] 语义清洗完成 doc_id=180671936909298314 type=txt understand=True (422→659字, 1段)
2026-03-01 15:30:52,476 [INFO] [S] 语义清洗完成 doc_id=181295273227264128 type=txt understand=True (218→126字, 1段)
2026-03-01 15:30:52,476 [INFO] [S] 语义清洗完成 doc_id=181295273227264128 type=txt understand=True (218→126字, 1段)
2026-03-01 15:30:52,838 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:30:52,838 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:30:52,850 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:30:52,850 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:30:55,339 [INFO] [S] 语义清洗完成 doc_id=181070772859780650 type=txt understand=True (470→575字, 1段)
2026-03-01 15:30:55,339 [INFO] [S] 语义清洗完成 doc_id=181070772859780650 type=txt understand=True (470→575字, 1段)
2026-03-01 15:30:55,744 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:30:55,744 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:30:56,284 [INFO] [S] 语义清洗完成 doc_id=181344617712963693 type=txt understand=True (114→87字, 1段)
2026-03-01 15:30:56,284 [INFO] [S] 语义清洗完成 doc_id=181344617712963693 type=txt understand=True (114→87字, 1段)
2026-03-01 15:30:56,734 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:30:56,734 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:30:58,991 [INFO] [S] 语义清洗完成 doc_id=181401342746135511 type=txt understand=True (217→231字, 1段)
2026-03-01 15:30:58,991 [INFO] [S] 语义清洗完成 doc_id=181401342746135511 type=txt understand=True (217→231字, 1段)
2026-03-01 15:30:59,431 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:30:59,431 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:31:01,165 [INFO] [S] 语义清洗完成 doc_id=181746179930197227 type=txt understand=True (195→183字, 1段)
2026-03-01 15:31:01,165 [INFO] [S] 语义清洗完成 doc_id=181746179930197227 type=txt understand=True (195→183字, 1段)
2026-03-01 15:31:01,662 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:31:01,662 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:31:05,747 [INFO] [S] 语义清洗完成 doc_id=181894492763559965 type=txt understand=True (239→305字, 1段)
2026-03-01 15:31:05,747 [INFO] [S] 语义清洗完成 doc_id=181894492763559965 type=txt understand=True (239→305字, 1段)
2026-03-01 15:31:06,228 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:31:06,228 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:31:08,915 [INFO] [S] 语义清洗完成 doc_id=181689678494861909 type=txt understand=True (569→594字, 1段)
2026-03-01 15:31:08,915 [INFO] [S] 语义清洗完成 doc_id=181689678494861909 type=txt understand=True (569→594字, 1段)
2026-03-01 15:31:09,393 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-01 15:31:09,393 [INFO] HTTP Request: POST https://api.deepseek.com/v1/chat/completions "HTTP/1.1 200 OK"
